,neg,neu,pos,compound,headline
0,0.0,1.0,0.0,0.0,Higher diesel prices push up truck rentals in first week of January: IFTRT
1,0.0,1.0,0.0,0.0,"Truck rentals for fruits and vegetables soar by 75-85%, says IFTRT"
2,0.0,1.0,0.0,0.0,Transporters mull surrendering vehicles as loan moratorium comes to an end
3,0.149,0.851,0.0,-0.1027,Overall economic slowdown hits truck rentals hard in 2019
4,0.0,1.0,0.0,0.0,"States can fix minimum freight rates for trucks, says Road Ministry"
5,0.179,0.821,0.0,-0.34,Freight rates on key routes shoot past pre-lockdown level on diesel hike
6,0.244,0.756,0.0,-0.4404,Supply Chain Woes: COVID-19 Lockdown Leaves Truckers Stranded Across India
7,0.262,0.549,0.189,-0.0516,Freight rates may see no relief from drop in Delhi diesel prices
8,0.237,0.763,0.0,-0.4215,Fuel sales tax hike double whammy for struggling road transporters
9,0.0,1.0,0.0,0.0,When rail wheels prefer to take the roads
10,0.208,0.792,0.0,-0.2732,Transporters say not able to sustain highway toll charges
11,0.18,0.82,0.0,-0.296,No immediate recovery in sight for trucking industry hammered by lockdown
12,0.0,1.0,0.0,0.0,Rising freight will puncture corporate margins
13,0.36,0.64,0.0,-0.5423,Diesel price on fire: Soaring truck rentals pose inflation risk
14,0.0,1.0,0.0,0.0,"Only owner-driven trucks are operating, that too at a stiff price"
15,0.0,0.828,0.172,0.4019,Coronavirus update: Railways steps up cargo ops to boost supply of essentials amid lockdown
16,0.219,0.781,0.0,-0.4215,Truck rentals: Truck rentals firm up due to fuel price fears
17,0.238,0.762,0.0,-0.3612,Essential supplies face disruption as Covid-19 cripples road transport
18,0.189,0.811,0.0,-0.2732,Soaring freight charges throw a spanner in works for auto firms
19,0.0,0.781,0.219,0.4215,"AIMTC seeks govt intervention for food, safety for stranded truck drivers"
20,0.298,0.702,0.0,-0.7003,"coronavirus impact on truckers: Transporters warn of total collapse as COVID-19 lockdown strains freight movement, Auto News, ET Auto"
21,0.0,1.0,0.0,0.0,Thefts and virus spread pose double whammy for truck drivers
22,0.0,1.0,0.0,0.0,"Moving goods is not a smooth run, despite government clamping on people movement"
23,0.185,0.815,0.0,-0.3612,Supply chain faces disruption with over 5 lakh trucks stranded at state borders
